neighbourhood_group,latitude,longitude,rating,price,likes,ratio
Bronx,40.8466508,-73.8785937,7.214285714285714,1.875,135.0,0.6497524752475248
Brooklyn,40.6501038,-73.9495823,6.888888888888889,1.6153846153846154,623.0,0.5862282878411911
Manhattan,40.7896239,-73.9598939,7.2707317073170765,1.9523809523809523,7956.0,0.6713151547099884
Queens,40.7498243,-73.7976337,7.436363636363637,1.5483870967741935,330.0,0.5205457843678523
Staten Island,40.5834557,-74.1496048,8.25,2.0,979.0,0.6060606060606061
